time[s],Xcg[m],Xcp[m]
0.658,1.9389,2.0713
0.659,1.9388,2.0715
0.66,1.9388,2.0716
0.661,1.9388,2.0718
0.662,1.9387,2.072
0.663,1.9387,2.0722
0.664,1.9386,2.0724
0.665,1.9386,2.0725
0.666,1.9386,2.0727
0.667,1.9385,2.0729
0.668,1.9385,2.0731
0.669,1.9385,2.0733
0.67,1.9384,2.0735
0.671,1.9384,2.0736
0.672,1.9384,2.0738
0.673,1.9383,2.074
0.674,1.9383,2.0742
0.675,1.9382,2.0744
0.676,1.9382,2.0745
0.677,1.9382,2.0747
0.678,1.9381,2.0749
0.679,1.9381,2.0751
0.68,1.9381,2.0753
0.681,1.938,2.0755
0.682,1.938,2.0756
0.683,1.9379,2.0757
0.684,1.9379,2.0759
0.685,1.9379,2.076
0.686,1.9378,2.0762
0.687,1.9378,2.0763
0.688,1.9378,2.0764
0.689,1.9377,2.0766
0.69,1.9377,2.0767
0.691,1.9377,2.0768
0.692,1.9376,2.077
0.693,1.9376,2.0771
0.694,1.9375,2.0773
0.695,1.9375,2.0774
0.696,1.9375,2.0775
0.697,1.9374,2.0777
0.698,1.9374,2.0778
0.699,1.9374,2.0779
0.7,1.9373,2.0781
0.701,1.9373,2.0782
0.702,1.9372,2.0784
0.703,1.9372,2.0785
0.704,1.9372,2.0786
0.705,1.9371,2.0788
0.706,1.9371,2.0789
0.707,1.9371,2.0791
0.708,1.937,2.0792
0.709,1.937,2.0793
0.71,1.937,2.0795
0.711,1.9369,2.0796
0.712,1.9369,2.0797
0.713,1.9368,2.0799
0.714,1.9368,2.08
0.715,1.9368,2.0802
0.716,1.9367,2.0803
0.717,1.9367,2.0804
0.718,1.9367,2.0806
0.719,1.9366,2.0807
0.72,1.9366,2.0808
0.721,1.9365,2.081
0.722,1.9365,2.0811
0.723,1.9365,2.0813
0.724,1.9364,2.0814
0.725,1.9364,2.0815
0.726,1.9364,2.0817
0.727,1.9363,2.0818
0.728,1.9363,2.082
0.729,1.9363,2.0821
0.73,1.9362,2.0822
0.731,1.9362,2.0824
0.732,1.9361,2.0825
0.733,1.9361,2.0827
0.734,1.9361,2.0829
0.735,1.936,2.083
0.736,1.936,2.0832
0.737,1.936,2.0833
0.738,1.9359,2.0835
0.739,1.9359,2.0837
0.74,1.9358,2.0838
0.741,1.9358,2.084
