Run ID,At [m^2],Dfg_Outer [m],Dfg_Inner [m],Lfg [m],ISP [s^-1],Delta-V [m/s],Apogee [m],O/F Ratio Max
1801,0.002,0.141,0.04,0.5,236.12,332.73,6461,3.4143
1809,0.002,0.141,0.045,0.5,236.22,326.07,6206.5,3.4216
1817,0.002,0.141,0.05,0.5,236.32,318.38,5919.1,3.4294
1825,0.002,0.141,0.055,0.5,236.41,309.68,5602.2,3.4629
1833,0.002,0.141,0.06,0.5,236.49,299.85,5254.1,3.4962
1841,0.002,0.141,0.065,0.5,236.56,289.03,4883.9,3.5271
1849,0.002,0.141,0.07,0.5,236.62,277.11,4491.4,3.556
1857,0.002,0.141,0.075,0.5,236.68,264.16,4083.6,3.583
1865,0.002,0.141,0.08,0.5,236.73,250.21,3665.6,3.6086
1866,0.002,0.141,0.08,0.6,231.25,255.09,3800.4,3.0071
1873,0.002,0.143,0.04,0.5,236.14,343.96,6902.2,3.4189
1881,0.002,0.143,0.045,0.5,236.24,337.34,6640.9,3.426
1889,0.002,0.143,0.05,0.5,236.33,329.62,6342.4,3.4337
1897,0.002,0.143,0.055,0.5,236.42,320.89,6012.9,3.4629
1905,0.002,0.143,0.06,0.5,236.5,311.09,5653.3,3.4962
1913,0.002,0.143,0.065,0.5,236.57,300.23,5267.7,3.5271
1921,0.002,0.143,0.07,0.5,236.64,288.32,4860.5,3.556
1929,0.002,0.143,0.075,0.5,236.69,275.4,4436.6,3.583
1937,0.002,0.143,0.08,0.5,236.75,261.32,3996.8,3.6086
1938,0.002,0.143,0.08,0.6,231.28,266.44,4144.9,3.0071
1945,0.002,0.145,0.04,0.5,236.16,355.45,7368.2,3.4234
1953,0.002,0.145,0.045,0.5,236.26,348.8,7097,3.4304
1961,0.002,0.145,0.05,0.5,236.35,341.12,6790,3.4379
1969,0.002,0.145,0.055,0.5,236.44,332.35,6447.6,3.4629
1977,0.002,0.145,0.06,0.5,236.51,322.5,6073.6,3.4962
1985,0.002,0.145,0.065,0.5,236.58,311.67,5674.7,3.5271
1993,0.002,0.145,0.07,0.5,236.65,299.71,5250.2,3.556
2001,0.002,0.145,0.075,0.5,236.7,286.73,4807.6,3.583
2009,0.002,0.145,0.08,0.5,236.76,272.67,4349.8,3.6086
2010,0.002,0.145,0.08,0.6,231.32,278.05,4512.1,3.0071
2017,0.002,0.147,0.04,0.5,236.18,367.18,7860,3.4279
2025,0.002,0.147,0.045,0.5,236.28,360.51,7578.8,3.4347
2033,0.002,0.147,0.05,0.5,236.37,352.79,7260.2,3.442
2041,0.002,0.147,0.055,0.5,236.45,343.99,6904.6,3.4629
2049,0.002,0.147,0.06,0.5,236.53,334.17,6518.6,3.4962
2057,0.002,0.147,0.065,0.5,236.6,323.29,6103.5,3.5271
2065,0.002,0.147,0.07,0.5,236.66,311.35,5663.9,3.556
2073,0.002,0.147,0.075,0.5,236.72,298.32,5202,3.583
2081,0.002,0.147,0.08,0.5,236.77,284.26,4725.9,3.6086
2082,0.002,0.147,0.08,0.6,231.35,289.76,4898.4,3.0071
2089,0.002,0.149,0.04,0.5,236.2,379.03,8372.5,3.4324
2097,0.002,0.149,0.045,0.5,236.29,372.4,8084.1,3.439
2105,0.002,0.149,0.05,0.5,236.38,364.65,7753.6,3.4462
2113,0.002,0.149,0.055,0.5,236.46,355.88,7387.5,3.4629
2121,0.002,0.149,0.06,0.5,236.54,346.02,6986.5,3.4962
2129,0.002,0.149,0.065,0.5,236.61,335.16,6557.6,3.5271
2137,0.002,0.149,0.07,0.5,236.67,323.18,6099.8,3.556
2145,0.002,0.149,0.075,0.5,236.73,310.15,5620.9,3.583
2153,0.002,0.149,0.08,0.5,236.78,296.03,5123.6,3.6086
2154,0.002,0.149,0.08,0.6,231.38,301.79,5311.7,3.0071
2161,0.002,0.151,0.04,0.5,236.22,391.21,8916,3.4368
2169,0.002,0.151,0.045,0.5,236.31,384.55,8617.1,3.4433
2177,0.002,0.151,0.05,0.5,236.4,376.77,8274.4,3.4503
2185,0.002,0.151,0.055,0.5,236.48,368.03,7897.6,3.4629
2193,0.002,0.151,0.06,0.5,236.55,358.12,7481.1,3.4962
2201,0.002,0.151,0.065,0.5,236.62,347.22,7035.3,3.5271
2209,0.002,0.151,0.07,0.5,236.68,335.25,6561.7,3.556
2217,0.002,0.151,0.075,0.5,236.74,322.17,6062.6,3.583
2225,0.002,0.151,0.08,0.5,236.79,307.99,5543.7,3.6086
2226,0.002,0.151,0.08,0.6,231.41,313.94,5745.7,3.0071
2233,0.002,0.153,0.04,0.5,236.24,403.59,9485.2,3.4411
2241,0.002,0.153,0.045,0.5,236.33,396.89,9175.5,3.4475
2249,0.002,0.153,0.05,0.5,236.41,389.15,8823.6,3.4544
2257,0.002,0.153,0.055,0.5,236.49,380.37,8432.7,3.4629
2265,0.002,0.153,0.06,0.5,236.56,370.49,8003.5,3.4962
2273,0.002,0.153,0.065,0.5,236.63,359.53,7540.3,3.5271
2281,0.002,0.153,0.07,0.5,236.69,347.51,7047.7,3.556
2289,0.002,0.153,0.075,0.5,236.75,334.37,6528,3.583
2297,0.002,0.153,0.08,0.5,236.8,320.2,5989.6,3.6086
2298,0.002,0.153,0.08,0.6,231.44,326.41,6209,3.0071
2305,0.002,0.155,0.04,0.5,236.25,416.15,10081,3.4455
2313,0.002,0.155,0.045,0.5,236.34,409.42,9760.3,3.4517
2321,0.002,0.155,0.05,0.5,236.43,401.72,9399.1,3.4585
2329,0.002,0.155,0.055,0.5,236.51,392.89,8993.9,3.4657
2337,0.002,0.155,0.06,0.5,236.58,382.97,8548.6,3.4962
2345,0.002,0.155,0.065,0.5,236.64,372.04,8070.7,3.5271
2353,0.002,0.155,0.07,0.5,236.7,359.96,7558.7,3.556
2361,0.002,0.155,0.075,0.5,236.76,346.83,7020.8,3.583
2369,0.002,0.155,0.08,0.5,236.8,332.67,6462.5,3.6086
2370,0.002,0.155,0.08,0.6,231.47,339.07,6697.4,3.0071
2377,0.0025,0.135,0.04,0.5,229.79,295.63,5104.4,3.4467
2385,0.0025,0.135,0.045,0.5,229.88,289.08,4882.1,3.4546
2393,0.0025,0.135,0.05,0.5,229.96,281.44,4629.2,3.463
2401,0.0025,0.135,0.055,0.5,230.03,272.88,4353.4,3.472
2409,0.0025,0.135,0.06,0.5,230.1,263.26,4053.5,3.4962
2417,0.0025,0.135,0.065,0.5,230.16,252.6,3733.6,3.5271
2425,0.0025,0.135,0.07,0.5,230.21,240.92,3397.8,3.556
2433,0.0025,0.135,0.075,0.5,230.25,228.22,3050.7,3.583
2441,0.0025,0.135,0.08,0.5,230.29,214.46,2695.5,3.6086
2442,0.0025,0.135,0.08,0.6,225.47,219.28,2810,3.0071
2449,0.0025,0.137,0.04,0.5,229.81,306.08,5469.9,3.4515
2457,0.0025,0.137,0.045,0.5,229.89,299.5,5238.8,3.4592
2465,0.0025,0.137,0.05,0.5,229.97,291.91,4978.1,3.4674
2473,0.0025,0.137,0.055,0.5,230.05,283.31,4690.9,3.4762
2481,0.0025,0.137,0.06,0.5,230.11,273.65,4378.3,3.4962
2489,0.0025,0.137,0.065,0.5,230.17,263.02,4046.5,3.5271
2497,0.0025,0.137,0.07,0.5,230.22,251.29,3695.3,3.556
2505,0.0025,0.137,0.075,0.5,230.26,238.61,3333.6,3.583
2513,0.0025,0.137,0.08,0.5,230.3,224.87,2962.3,3.6086
2514,0.0025,0.137,0.08,0.6,225.5,229.89,3087.4,3.0071
